[model]
translation_training
[time]
                              [profile] 0-1-1-7-0-2-0-1         0.00%     252.000us         0.01%       1.097ms      99.727us       0.000us         0.00%      17.523ms       1.593ms           0 b           0 b     132.00 Mb           0 b            11  
                              [profile] 0-1-1-5-0-2-0-1         0.00%     248.000us         0.01%       1.087ms      98.818us       0.000us         0.00%      17.404ms       1.582ms           0 b           0 b     132.00 Mb           0 b            11  
                              [profile] 0-1-1-1-0-2-0-1         0.00%     192.000us         0.01%       1.092ms      99.273us       0.000us         0.00%      17.392ms       1.581ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                              [profile] 0-1-1-2-0-2-0-1         0.00%     181.000us         0.01%       1.076ms      97.818us       0.000us         0.00%      17.385ms       1.580ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                              [profile] 0-1-1-8-0-2-0-1         0.00%     200.000us         0.01%       1.126ms     102.364us       0.000us         0.00%      17.381ms       1.580ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                              [profile] 0-1-1-4-0-2-0-1         0.00%     184.000us         0.01%       1.079ms      98.091us       0.000us         0.00%      17.378ms       1.580ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                              [profile] 0-1-1-6-0-2-0-1         0.00%     259.000us         0.01%       1.111ms     101.000us       0.000us         0.00%      17.374ms       1.579ms           0 b           0 b     132.00 Mb           0 b            11  
                              [profile] 0-1-1-3-0-2-0-1         0.00%     193.000us         0.01%       1.083ms      98.455us       0.000us         0.00%      17.367ms       1.579ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                             [profile] 0-1-1-10-0-2-0-1         0.00%     260.000us         0.01%       1.108ms     100.727us       0.000us         0.00%      17.363ms       1.578ms           0 b           0 b     132.00 Mb           0 b            11  
                                [profile] 0-1-1-2-0-1-0         0.01%       2.469ms         0.06%      10.590ms     962.727us       0.000us         0.00%      16.841ms       1.531ms           0 b           0 b     888.20 Mb    -452.41 Mb            11  
                                      [profile] 0-0-1-5         0.00%     830.000us         0.13%      24.017ms       2.183ms       0.000us         0.00%      16.674ms       1.516ms           0 b           0 b     542.69 Mb           0 b            11  
                                [profile] 0-1-1-7-0-1-0         0.01%       2.492ms         0.07%      12.516ms       1.138ms       0.000us         0.00%      16.634ms       1.512ms           0 b           0 b     877.07 Mb    -436.69 Mb            11  
                                      [profile] 0-0-1-7         0.00%     827.000us         0.13%      23.906ms       2.173ms       0.000us         0.00%      16.514ms       1.501ms           0 b           0 b     543.98 Mb           0 b            11  
                                [profile] 0-1-1-5-0-1-0         0.01%       2.464ms         0.06%      11.034ms       1.003ms       0.000us         0.00%      16.413ms       1.492ms           0 b           0 b     877.34 Mb    -458.25 Mb            11  
                              [profile] 0-1-1-7-0-2-0-0         0.00%     252.000us         0.01%       1.281ms     116.455us       0.000us         0.00%      16.326ms       1.484ms           0 b           0 b     528.00 Mb           0 b            11  
                                      [profile] 0-0-1-8         0.00%     858.000us         0.15%      25.923ms       2.357ms       0.000us         0.00%      16.228ms       1.475ms           0 b           0 b     543.60 Mb           0 b            11  
                                [profile] 0-1-1-6-0-1-0         0.01%       2.510ms         0.06%      11.111ms       1.010ms       0.000us         0.00%      16.114ms       1.465ms           0 b           0 b     876.10 Mb    -436.69 Mb            11  
                                [profile] 0-1-1-1-0-1-0         0.01%       2.590ms         0.07%      12.502ms       1.137ms       0.000us         0.00%      16.101ms       1.464ms           0 b           0 b     886.84 Mb    -439.19 Mb            11  
                              [profile] 0-1-1-8-0-2-0-0         0.00%     251.000us         0.01%       1.284ms     116.727us       0.000us         0.00%      16.040ms       1.458ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-9-0-2-0-0         0.00%     256.000us         0.01%       1.286ms     116.909us       0.000us         0.00%      16.025ms       1.457ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-5-0-2-0-0         0.00%     241.000us         0.01%       1.256ms     114.182us       0.000us         0.00%      15.988ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-0-0-2-0-0         0.00%     173.000us         0.01%       1.057ms      96.091us       0.000us         0.00%      15.987ms       1.453ms           0 b           0 b     528.00 Mb     -48.00 Mb            11  
                              [profile] 0-1-1-3-0-2-0-0         0.00%     245.000us         0.01%       1.232ms     112.000us       0.000us         0.00%      15.986ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-2-0-2-0-0         0.00%     245.000us         0.01%       1.307ms     118.818us       0.000us         0.00%      15.985ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-1-0-2-0-0         0.00%     245.000us         0.01%       1.061ms      96.455us       0.000us         0.00%      15.982ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                             [profile] 0-1-1-10-0-2-0-0         0.00%     256.000us         0.01%       1.287ms     117.000us       0.000us         0.00%      15.980ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                              [profile] 0-1-1-4-0-2-0-0         0.00%     184.000us         0.01%       1.230ms     111.818us       0.000us         0.00%      15.979ms       1.453ms           0 b           0 b     528.00 Mb     -48.00 Mb            11  
                              [profile] 0-1-1-6-0-2-0-0         0.00%     252.000us         0.01%       1.264ms     114.909us       0.000us         0.00%      15.978ms       1.453ms           0 b           0 b     528.00 Mb           0 b            11  
                                      [profile] 0-0-1-4         0.00%     821.000us         0.13%      23.843ms       2.168ms       0.000us         0.00%      15.736ms       1.431ms           0 b           0 b     543.07 Mb           0 b            11  
                                [profile] 0-1-1-4-0-1-0         0.01%       2.527ms         0.06%      10.956ms     996.000us       0.000us         0.00%      15.515ms       1.410ms           0 b           0 b     881.23 Mb    -437.56 Mb            11  
                                [profile] 0-1-1-3-0-1-0         0.01%       2.493ms         0.06%      10.954ms     995.818us       0.000us         0.00%      15.473ms       1.407ms           0 b           0 b     884.71 Mb    -439.19 Mb            11  
                                      [profile] 0-0-1-1         0.01%     905.000us         0.14%      24.147ms       2.195ms       0.000us         0.00%      15.308ms       1.392ms           0 b           0 b     576.90 Mb           0 b            11  
                              [profile] 0-0-1-2-0-0-0-1         0.00%     197.000us         0.01%     985.000us      89.545us       0.000us         0.00%      15.296ms       1.391ms           0 b           0 b      24.16 Mb      -2.00 Mb            11  
                                      [profile] 0-0-1-0         0.00%     868.000us         0.19%      34.571ms       3.143ms       0.000us         0.00%      15.156ms       1.378ms           0 b           0 b     624.16 Mb           0 b            11  
                                     [profile] 0-0-1-10         0.00%     814.000us         0.13%      23.997ms       2.182ms       0.000us         0.00%      14.559ms       1.324ms           0 b           0 b     542.84 Mb           0 b            11  
                                      [profile] 0-0-1-9         0.00%     828.000us         0.13%      23.755ms       2.160ms       0.000us         0.00%      13.910ms       1.265ms           0 b           0 b     540.30 Mb           0 b            11  
                                      [profile] 0-0-1-3         0.00%     820.000us         0.14%      24.870ms       2.261ms       0.000us         0.00%      13.720ms       1.247ms           0 b           0 b     555.51 Mb           0 b            11  
                                     [profile] 0-0-1-11         0.00%     832.000us         0.14%      24.220ms       2.202ms       0.000us         0.00%      13.338ms       1.213ms           0 b           0 b     543.60 Mb           0 b            11  
                                  [profile] 0-0-1-6-0-0         0.01%     962.000us         0.08%      14.881ms       1.353ms       0.000us         0.00%      11.734ms       1.067ms           0 b           0 b     251.94 Mb     -45.65 Mb            11  
                                [profile] 0-0-1-6-0-0-0         0.01%       2.486ms         0.06%      10.601ms     963.727us       0.000us         0.00%      10.744ms     976.727us           0 b           0 b     180.25 Mb    -118.36 Mb            11  
                                  [profile] 0-0-1-8-0-0         0.01%     967.000us         0.10%      16.945ms       1.540ms       0.000us         0.00%       8.920ms     810.909us           0 b           0 b     251.01 Mb     -46.53 Mb            11  
                                  [profile] 0-0-1-2-0-1         0.01%     943.000us         0.05%       8.209ms     746.273us       0.000us         0.00%       8.879ms     807.182us           0 b           0 b     298.48 Mb     -49.73 Mb            11  
                                  [profile] 0-0-1-7-0-0         0.01%     952.000us         0.08%      14.897ms       1.354ms       0.000us         0.00%       8.801ms     800.091us           0 b           0 b     253.97 Mb     -44.88 Mb            11  
                                  [profile] 0-0-1-5-0-0         0.01%     970.000us         0.08%      15.026ms       1.366ms       0.000us         0.00%       8.602ms     782.000us           0 b           0 b     251.62 Mb     -44.15 Mb            11  
                                [profile] 0-0-1-8-0-0-0         0.02%       4.247ms         0.07%      12.593ms       1.145ms       0.000us         0.00%       8.353ms     759.364us           0 b           0 b     179.33 Mb    -124.36 Mb            11  
                                  [profile] 0-0-1-4-0-0         0.01%     947.000us         0.08%      14.920ms       1.356ms       0.000us         0.00%       8.328ms     757.091us           0 b           0 b     252.14 Mb     -45.40 Mb            11  
                                [profile] 0-0-1-2-0-1-0         0.01%     962.000us         0.02%       4.199ms     381.727us       0.000us         0.00%       8.303ms     754.818us           0 b           0 b     222.21 Mb     -86.34 Mb            11  
                                  [profile] 0-0-1-5-0-1         0.01%     919.000us         0.05%       8.161ms     741.909us       0.000us         0.00%       8.072ms     733.818us           0 b           0 b     291.07 Mb     -44.34 Mb            11  
                                [profile] 0-0-1-5-0-0-0         0.01%       2.518ms         0.06%      10.720ms     974.545us       0.000us         0.00%       7.967ms     724.273us           0 b           0 b     178.53 Mb    -119.01 Mb            11  
                                [profile] 0-0-1-7-0-0-0         0.01%       2.467ms         0.06%      10.669ms     969.909us       0.000us         0.00%       7.944ms     722.182us           0 b           0 b     180.99 Mb    -117.60 Mb            11  
                                  [profile] 0-0-1-1-0-0         0.01%     988.000us         0.08%      15.006ms       1.364ms       0.000us         0.00%       7.941ms     721.909us           0 b           0 b     275.45 Mb     -49.74 Mb            11  
                                  [profile] 0-0-1-9-0-1         0.01%     964.000us         0.05%       8.092ms     735.636us       0.000us         0.00%       7.850ms     713.636us           0 b           0 b     289.33 Mb     -46.50 Mb            11  
                                  [profile] 0-0-1-3-0-1         0.01%     926.000us         0.05%       8.108ms     737.091us       0.000us         0.00%       7.809ms     709.909us           0 b           0 b     294.72 Mb     -44.67 Mb            11  
                                  [profile] 0-0-1-0-0-0         0.01%       1.003ms         0.14%      24.041ms       2.186ms       0.000us         0.00%       7.733ms     703.000us           0 b           0 b     318.23 Mb     -48.31 Mb            11  
                                  [profile] 0-0-1-7-0-1         0.01%     923.000us         0.05%       8.182ms     743.818us       0.000us         0.00%       7.713ms     701.182us           0 b           0 b     290.01 Mb     -44.34 Mb            11  
                                 [profile] 0-0-1-11-0-1         0.01%     933.000us         0.05%       8.292ms     753.818us       0.000us         0.00%       7.464ms     678.545us           0 b           0 b     290.98 Mb     -44.34 Mb            11  
                                  [profile] 0-0-1-0-0-1         0.01%     942.000us         0.05%       9.662ms     878.364us       0.000us         0.00%       7.423ms     674.818us           0 b           0 b     305.93 Mb     -47.19 Mb            11  
                                  [profile] 0-0-1-4-0-1         0.01%     926.000us         0.05%       8.102ms     736.545us       0.000us         0.00%       7.408ms     673.455us           0 b           0 b     290.94 Mb     -45.75 Mb            11  
